Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D7, D8, D9",Diode_DO-35,68,Diode,
S1,MX_PCB_1.00u,1,Esc,
S10,MX_PCB_1.00u,1,9,
S11,MX_PCB_1.00u,1,0,
S12,MX_PCB_1.00u,1,-,
S13,MX_PCB_1.00u,1,=,
S14,MX_PCB_2.00u,1,BS,
S15,MX_PCB_1.00u,1,PS,
S16,MX_PCB_1.00u,1,PU,
S17,MX_PCB_1.50u,1,Tab,
S18,MX_PCB_1.00u,1,Q,
S19,MX_PCB_1.00u,1,W,
S2,MX_PCB_1.00u,1,1,
S20,MX_PCB_1.00u,1,E,
S21,MX_PCB_1.00u,1,R,
S22,MX_PCB_1.00u,1,T,
S23,MX_PCB_1.00u,1,Y,
S24,MX_PCB_1.00u,1,U,
S25,MX_PCB_1.00u,1,I,
S26,MX_PCB_1.00u,1,O,
S27,MX_PCB_1.00u,1,P,
S28,MX_PCB_1.00u,1,[,
S29,MX_PCB_1.00u,1,],
S3,MX_PCB_1.00u,1,2,
S30,MX_PCB_1.50u,1,\,
S31,MX_PCB_1.00u,1,Del,
S32,MX_PCB_1.00u,1,PD,
S33,MX_PCB_1.75u,1,CL,
S34,MX_PCB_1.00u,1,A,
S35,MX_PCB_1.00u,1,S,
S36,MX_PCB_1.00u,1,D,
S37,MX_PCB_1.00u,1,F,
S38,MX_PCB_1.00u,1,G,
S39,MX_PCB_1.00u,1,H,
S4,MX_PCB_1.00u,1,3,
S40,MX_PCB_1.00u,1,J,
S41,MX_PCB_1.00u,1,K,
S42,MX_PCB_1.00u,1,L,
S43,MX_PCB_1.00u,1,;,
S44,MX_PCB_1.00u,1,',
S45,MX_PCB_2.25u,1,Ent,
S46,MX_PCB_2.25u,1,ShL,
S47,MX_PCB_1.00u,1,Z,
S48,MX_PCB_1.00u,1,X,
S49,MX_PCB_1.00u,1,C,
S5,MX_PCB_1.00u,1,4,
S50,MX_PCB_1.00u,1,V,
S51,MX_PCB_1.00u,1,B,
S52,MX_PCB_1.00u,1,N,
S53,MX_PCB_1.00u,1,M,
S54,MX_PCB_1.00u,1,",",
S55,MX_PCB_1.00u,1,.,
S56,MX_PCB_1.00u,1,/,
S57,MX_PCB_2.75u,1,ShR,
S58,MX_PCB_1.00u,1,Up,
S59,MX_PCB_1.25u,1,CtL,
S6,MX_PCB_1.00u,1,5,
S60,MX_PCB_1.25u,1,Win,
S61,MX_PCB_1.25u,1,AlL,
S62,MX_PCB_6.25u,1,Spa,
S63,MX_PCB_1.25u,1,Fn,
S64,MX_PCB_1.25u,1,AlR,
S65,MX_PCB_1.25u,1,CtR,
S66,MX_PCB_1.00u,1,Lt,
S67,MX_PCB_1.00u,1,Dw,
S68,MX_PCB_1.00u,1,Rh,
S69,STAB_MX_2u,1,2u,
S7,MX_PCB_1.00u,1,6,
"S70, S73",STAB_MX_2.25u,2,2.25u,
S71,STAB_MX_2.75u,1,2.75u,
S72,STAB_MX_6.25u,1,6.25u,
S8,MX_PCB_1.00u,1,7,
S9,MX_PCB_1.00u,1,8,
U1,SuperMini NRF52840,1,SuperMini_NRF52840,
