Designator,Mid X,Mid Y,Rotation,Layer
D1,63.25625,-77.3825,90.0,bottom
D10,234.70625,-77.3825,90.0,bottom
D11,253.75625,-77.3825,90.0,bottom
D12,272.80625,-77.3825,90.0,bottom
D13,291.85625,-77.3825,90.0,bottom
D14,320.43125,-77.3825,90.0,bottom
D15,353.76875,-77.3825,90.0,bottom
D16,372.81875,-77.3825,90.0,bottom
D17,68.01875,-96.4325,90.0,bottom
D18,91.83125,-96.4325,90.0,bottom
D19,110.88125,-96.4325,90.0,bottom
D2,82.30625,-77.3825,90.0,bottom
D20,129.93125,-96.4325,90.0,bottom
D21,148.98125,-96.4325,90.0,bottom
D22,168.03125,-96.4325,90.0,bottom
D23,187.08125,-96.4325,90.0,bottom
D24,206.13125,-96.4325,90.0,bottom
D25,225.18125,-96.4325,90.0,bottom
D26,244.23125,-96.4325,90.0,bottom
D27,263.28125,-96.4325,90.0,bottom
D28,282.33125,-96.4325,90.0,bottom
D29,301.38125,-96.4325,90.0,bottom
D3,101.35625,-77.3825,90.0,bottom
D30,325.19375,-96.4325,90.0,bottom
D31,353.76875,-96.4325,90.0,bottom
D32,372.81875,-96.4325,90.0,bottom
D33,70.4,-115.4825,90.0,bottom
D34,96.59375,-115.4825,90.0,bottom
D35,115.64375,-115.4825,90.0,bottom
D36,134.69375,-115.4825,90.0,bottom
D37,153.74375,-115.4825,90.0,bottom
D38,172.79375,-115.4825,90.0,bottom
D39,191.84375,-115.4825,90.0,bottom
D4,120.40625,-77.3825,90.0,bottom
D40,210.89375,-115.4825,90.0,bottom
D41,229.94375,-115.4825,90.0,bottom
D42,248.99375,-115.4825,90.0,bottom
D43,268.04375,-115.4825,90.0,bottom
D44,287.09375,-115.4825,90.0,bottom
D45,318.05,-115.4825,90.0,bottom
D46,75.1625,-134.5325,90.0,bottom
D47,106.11875,-134.5325,90.0,bottom
D48,125.16875,-134.5325,90.0,bottom
D49,144.21875,-134.5325,90.0,bottom
D5,139.45625,-77.3825,90.0,bottom
D50,163.26875,-134.5325,90.0,bottom
D51,182.31875,-134.5325,90.0,bottom
D52,201.36875,-134.5325,90.0,bottom
D53,220.41875,-134.5325,90.0,bottom
D54,239.46875,-134.5325,90.0,bottom
D55,258.51875,-134.5325,90.0,bottom
D56,277.56875,-134.5325,90.0,bottom
D57,313.2875,-134.5325,90.0,bottom
D58,353.76875,-139.295,90.0,bottom
D59,65.6375,-153.5825,90.0,bottom
D6,158.50625,-77.3825,90.0,bottom
D60,89.45,-153.5825,90.0,bottom
D61,113.2625,-153.5825,90.0,bottom
D62,184.7,-153.5825,90.0,bottom
D63,256.1375,-153.5825,90.0,bottom
D64,279.95,-153.5825,90.0,bottom
D65,303.7625,-153.5825,90.0,bottom
D66,334.71875,-158.345,90.0,bottom
D67,353.76875,-158.345,90.0,bottom
D68,372.81875,-158.345,90.0,bottom
D7,177.55625,-77.3825,90.0,bottom
D8,196.60625,-77.3825,90.0,bottom
D9,215.65625,-77.3825,90.0,bottom
S1,54.525,-74.525,0.0,top
S10,225.975,-74.525,0.0,top
S11,245.025,-74.525,0.0,top
S12,264.075,-74.525,0.0,top
S13,283.125,-74.525,0.0,top
S14,311.7,-74.525,0.0,top
S15,345.0375,-74.525,0.0,top
S16,364.0875,-74.525,0.0,top
S17,59.2875,-93.575,0.0,top
S18,83.1,-93.575,0.0,top
S19,102.15,-93.575,0.0,top
S2,73.575,-74.525,0.0,top
S20,121.2,-93.575,0.0,top
S21,140.25,-93.575,0.0,top
S22,159.3,-93.575,0.0,top
S23,178.35,-93.575,0.0,top
S24,197.4,-93.575,0.0,top
S25,216.45,-93.575,0.0,top
S26,235.5,-93.575,0.0,top
S27,254.55,-93.575,0.0,top
S28,273.6,-93.575,0.0,top
S29,292.65,-93.575,0.0,top
S3,92.625,-74.525,0.0,top
S30,316.4625,-93.575,0.0,top
S31,345.0375,-93.575,0.0,top
S32,364.0875,-93.575,0.0,top
S33,61.66875,-112.625,0.0,top
S34,87.8625,-112.625,0.0,top
S35,106.9125,-112.625,0.0,top
S36,125.9625,-112.625,0.0,top
S37,145.0125,-112.625,0.0,top
S38,164.0625,-112.625,0.0,top
S39,183.1125,-112.625,0.0,top
S4,111.675,-74.525,0.0,top
S40,202.1625,-112.625,0.0,top
S41,221.2125,-112.625,0.0,top
S42,240.2625,-112.625,0.0,top
S43,259.3125,-112.625,0.0,top
S44,278.3625,-112.625,0.0,top
S45,309.31875,-112.625,0.0,top
S46,66.43125,-131.675,0.0,top
S47,97.3875,-131.675,0.0,top
S48,116.4375,-131.675,0.0,top
S49,135.4875,-131.675,0.0,top
S5,130.725,-74.525,0.0,top
S50,154.5375,-131.675,0.0,top
S51,173.5875,-131.675,0.0,top
S52,192.6375,-131.675,0.0,top
S53,211.6875,-131.675,0.0,top
S54,230.7375,-131.675,0.0,top
S55,249.7875,-131.675,0.0,top
S56,268.8375,-131.675,0.0,top
S57,304.55625,-131.675,0.0,top
S58,345.0375,-136.4375,0.0,top
S59,56.90625,-150.725,0.0,top
S6,149.775,-74.525,0.0,top
S60,80.71875,-150.725,0.0,top
S61,104.53125,-150.725,0.0,top
S62,175.96875,-150.725,0.0,top
S63,247.40625,-150.725,0.0,top
S64,271.21875,-150.725,0.0,top
S65,295.03125,-150.725,0.0,top
S66,325.9875,-155.4875,0.0,top
S67,345.0375,-155.4875,0.0,top
S68,364.0875,-155.4875,0.0,top
S7,168.825,-74.525,0.0,top
S8,187.875,-74.525,0.0,top
S9,206.925,-74.525,0.0,top
U1,380.7,-115.1,90.0,bottom
